fullVisitorId,visitId,visitNumber,hitType,hitNumber,actionType,totalDollars,impressionFlag,ProductSKU,ProductCategory,ProductName,pageTitle,pagePath
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0313,Home/Apparel/Men's/Men's-Outerwear/,Google Tri-blend Hoodie Grey,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0358,Home/Apparel/Men's/Men's-Outerwear/,Google Men's  Zip Hoodie,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0359,Home/Apparel/Men's/Men's-Outerwear/,Android Men's  Zip Hoodie,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0362,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Pullover Hoodie Grey,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0568,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Watershed Full Zip Hoodie Grey,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0592,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Airflow 1/4 Zip Pullover Black,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0593,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Airflow 1/4 Zip Pullover Lapis,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0598,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Convertible Vest-Jacket Pewter,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0595,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
2024172620398136134,1498937541,2,PAGE,1,0,15990000,true,GGOEGAAX0596,Home/Apparel/Men's/Men's-Outerwear/,Google Men's Quilted Insulated Vest Black,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/apparel/mens/mens+outerwear
